"","chi","xi","admissible"
"300",0.99,0.0297979797979798,FALSE
"301",-0.99,0.0396969696969697,FALSE
"302",-0.97,0.0396969696969697,FALSE
"303",-0.95,0.0396969696969697,TRUE
"304",-0.93,0.0396969696969697,TRUE
"305",-0.91,0.0396969696969697,TRUE
"306",-0.89,0.0396969696969697,TRUE
"307",-0.87,0.0396969696969697,TRUE
"308",-0.85,0.0396969696969697,TRUE
"309",-0.83,0.0396969696969697,TRUE
"310",-0.81,0.0396969696969697,TRUE
"311",-0.79,0.0396969696969697,TRUE
"312",-0.77,0.0396969696969697,TRUE
"313",-0.75,0.0396969696969697,TRUE
"314",-0.73,0.0396969696969697,TRUE
"315",-0.71,0.0396969696969697,TRUE
"316",-0.69,0.0396969696969697,TRUE
"317",-0.67,0.0396969696969697,TRUE
"318",-0.65,0.0396969696969697,TRUE
"319",-0.63,0.0396969696969697,TRUE
"320",-0.61,0.0396969696969697,TRUE
"321",-0.59,0.0396969696969697,TRUE
"322",-0.57,0.0396969696969697,TRUE
"323",-0.55,0.0396969696969697,TRUE
"324",-0.53,0.0396969696969697,TRUE
"325",-0.51,0.0396969696969697,TRUE
"326",-0.49,0.0396969696969697,TRUE
"327",-0.47,0.0396969696969697,TRUE
"328",-0.45,0.0396969696969697,TRUE
"329",-0.43,0.0396969696969697,TRUE
"330",-0.41,0.0396969696969697,TRUE
"331",-0.39,0.0396969696969697,TRUE
"332",-0.37,0.0396969696969697,TRUE
"333",-0.35,0.0396969696969697,TRUE
"334",-0.33,0.0396969696969697,TRUE
"335",-0.31,0.0396969696969697,TRUE
"336",-0.29,0.0396969696969697,TRUE
"337",-0.27,0.0396969696969697,TRUE
"338",-0.25,0.0396969696969697,TRUE
"339",-0.23,0.0396969696969697,TRUE
"340",-0.21,0.0396969696969697,TRUE
"341",-0.19,0.0396969696969697,TRUE
"342",-0.17,0.0396969696969697,TRUE
"343",-0.15,0.0396969696969697,TRUE
"344",-0.13,0.0396969696969697,TRUE
"345",-0.11,0.0396969696969697,TRUE
"346",-0.09,0.0396969696969697,TRUE
"347",-0.07,0.0396969696969697,TRUE
"348",-0.0499999999999999,0.0396969696969697,TRUE
"349",-0.03,0.0396969696969697,TRUE
"350",-0.01,0.0396969696969697,TRUE
"351",0.01,0.0396969696969697,TRUE
"352",0.03,0.0396969696969697,TRUE
"353",0.05,0.0396969696969697,TRUE
"354",0.0700000000000001,0.0396969696969697,TRUE
"355",0.0900000000000001,0.0396969696969697,TRUE
"356",0.11,0.0396969696969697,TRUE
"357",0.13,0.0396969696969697,TRUE
"358",0.15,0.0396969696969697,TRUE
"359",0.17,0.0396969696969697,TRUE
"360",0.19,0.0396969696969697,TRUE
"361",0.21,0.0396969696969697,TRUE
"362",0.23,0.0396969696969697,TRUE
"363",0.25,0.0396969696969697,TRUE
"364",0.27,0.0396969696969697,TRUE
"365",0.29,0.0396969696969697,TRUE
"366",0.31,0.0396969696969697,TRUE
"367",0.33,0.0396969696969697,TRUE
"368",0.35,0.0396969696969697,TRUE
"369",0.37,0.0396969696969697,TRUE
"370",0.39,0.0396969696969697,TRUE
"371",0.41,0.0396969696969697,TRUE
"372",0.43,0.0396969696969697,TRUE
"373",0.45,0.0396969696969697,TRUE
"374",0.47,0.0396969696969697,TRUE
"375",0.49,0.0396969696969697,TRUE
"376",0.51,0.0396969696969697,TRUE
"377",0.53,0.0396969696969697,TRUE
"378",0.55,0.0396969696969697,TRUE
"379",0.57,0.0396969696969697,TRUE
"380",0.59,0.0396969696969697,TRUE
"381",0.61,0.0396969696969697,TRUE
"382",0.63,0.0396969696969697,TRUE
