"","chi","xi","admissible"
"400",0.99,0.0396969696969697,FALSE
"401",-0.99,0.0495959595959596,FALSE
"402",-0.97,0.0495959595959596,FALSE
"403",-0.95,0.0495959595959596,FALSE
"404",-0.93,0.0495959595959596,FALSE
"405",-0.91,0.0495959595959596,FALSE
"406",-0.89,0.0495959595959596,FALSE
"407",-0.87,0.0495959595959596,FALSE
"408",-0.85,0.0495959595959596,FALSE
"409",-0.83,0.0495959595959596,FALSE
"410",-0.81,0.0495959595959596,FALSE
"411",-0.79,0.0495959595959596,FALSE
"412",-0.77,0.0495959595959596,FALSE
"413",-0.75,0.0495959595959596,FALSE
"414",-0.73,0.0495959595959596,FALSE
"415",-0.71,0.0495959595959596,FALSE
"416",-0.69,0.0495959595959596,FALSE
"417",-0.67,0.0495959595959596,FALSE
"418",-0.65,0.0495959595959596,FALSE
"419",-0.63,0.0495959595959596,FALSE
"420",-0.61,0.0495959595959596,FALSE
"421",-0.59,0.0495959595959596,FALSE
"422",-0.57,0.0495959595959596,FALSE
"423",-0.55,0.0495959595959596,FALSE
"424",-0.53,0.0495959595959596,FALSE
"425",-0.51,0.0495959595959596,FALSE
"426",-0.49,0.0495959595959596,FALSE
"427",-0.47,0.0495959595959596,FALSE
"428",-0.45,0.0495959595959596,FALSE
"429",-0.43,0.0495959595959596,FALSE
"430",-0.41,0.0495959595959596,FALSE
"431",-0.39,0.0495959595959596,FALSE
"432",-0.37,0.0495959595959596,FALSE
"433",-0.35,0.0495959595959596,FALSE
"434",-0.33,0.0495959595959596,FALSE
"435",-0.31,0.0495959595959596,FALSE
"436",-0.29,0.0495959595959596,FALSE
"437",-0.27,0.0495959595959596,FALSE
"438",-0.25,0.0495959595959596,FALSE
"439",-0.23,0.0495959595959596,FALSE
"440",-0.21,0.0495959595959596,FALSE
"441",-0.19,0.0495959595959596,FALSE
"442",-0.17,0.0495959595959596,FALSE
"443",-0.15,0.0495959595959596,FALSE
"444",-0.13,0.0495959595959596,FALSE
"445",-0.11,0.0495959595959596,FALSE
"446",-0.09,0.0495959595959596,FALSE
"447",-0.07,0.0495959595959596,FALSE
"448",-0.0499999999999999,0.0495959595959596,FALSE
"449",-0.03,0.0495959595959596,FALSE
"450",-0.01,0.0495959595959596,FALSE
"451",0.01,0.0495959595959596,FALSE
"452",0.03,0.0495959595959596,FALSE
"453",0.05,0.0495959595959596,FALSE
"454",0.0700000000000001,0.0495959595959596,FALSE
"455",0.0900000000000001,0.0495959595959596,FALSE
"456",0.11,0.0495959595959596,FALSE
"457",0.13,0.0495959595959596,FALSE
"458",0.15,0.0495959595959596,FALSE
"459",0.17,0.0495959595959596,FALSE
"460",0.19,0.0495959595959596,FALSE
"461",0.21,0.0495959595959596,FALSE
"462",0.23,0.0495959595959596,FALSE
"463",0.25,0.0495959595959596,FALSE
"464",0.27,0.0495959595959596,FALSE
"465",0.29,0.0495959595959596,FALSE
"466",0.31,0.0495959595959596,FALSE
"467",0.33,0.0495959595959596,FALSE
"468",0.35,0.0495959595959596,FALSE
"469",0.37,0.0495959595959596,FALSE
"470",0.39,0.0495959595959596,FALSE
"471",0.41,0.0495959595959596,FALSE
"472",0.43,0.0495959595959596,FALSE
"473",0.45,0.0495959595959596,FALSE
"474",0.47,0.0495959595959596,FALSE
"475",0.49,0.0495959595959596,FALSE
"476",0.51,0.0495959595959596,FALSE
"477",0.53,0.0495959595959596,FALSE
"478",0.55,0.0495959595959596,FALSE
"479",0.57,0.0495959595959596,FALSE
"480",0.59,0.0495959595959596,FALSE
"481",0.61,0.0495959595959596,FALSE
"482",0.63,0.0495959595959596,FALSE
"483",0.65,0.0495959595959596,FALSE
"484",0.67,0.0495959595959596,FALSE
"485",0.69,0.0495959595959596,FALSE
"486",0.71,0.0495959595959596,FALSE
"487",0.73,0.0495959595959596,FALSE
"488",0.75,0.0495959595959596,FALSE
"489",0.77,0.0495959595959596,FALSE
"490",0.79,0.0495959595959596,FALSE
"491",0.81,0.0495959595959596,FALSE
"492",0.83,0.0495959595959596,FALSE
"493",0.85,0.0495959595959596,FALSE
"494",0.87,0.0495959595959596,FALSE
"495",0.89,0.0495959595959596,FALSE
"496",0.91,0.0495959595959596,FALSE
"497",0.93,0.0495959595959596,FALSE
"498",0.95,0.0495959595959596,FALSE
"499",0.97,0.0495959595959596,FALSE
"500",0.99,0.0495959595959596,FALSE
"501",-0.99,0.0594949494949495,FALSE
"502",-0.97,0.0594949494949495,FALSE
"503",-0.95,0.0594949494949495,FALSE
"504",-0.93,0.0594949494949495,FALSE
"505",-0.91,0.0594949494949495,FALSE
"506",-0.89,0.0594949494949495,FALSE
"507",-0.87,0.0594949494949495,FALSE
"508",-0.85,0.0594949494949495,FALSE
"509",-0.83,0.0594949494949495,FALSE
"510",-0.81,0.0594949494949495,FALSE
"511",-0.79,0.0594949494949495,FALSE
"512",-0.77,0.0594949494949495,FALSE
"513",-0.75,0.0594949494949495,FALSE
"514",-0.73,0.0594949494949495,FALSE
"515",-0.71,0.0594949494949495,FALSE
"516",-0.69,0.0594949494949495,FALSE
"517",-0.67,0.0594949494949495,FALSE
"518",-0.65,0.0594949494949495,FALSE
"519",-0.63,0.0594949494949495,FALSE
"520",-0.61,0.0594949494949495,FALSE
"521",-0.59,0.0594949494949495,FALSE
"522",-0.57,0.0594949494949495,FALSE
"523",-0.55,0.0594949494949495,FALSE
"524",-0.53,0.0594949494949495,FALSE
"525",-0.51,0.0594949494949495,FALSE
"526",-0.49,0.0594949494949495,FALSE
"527",-0.47,0.0594949494949495,FALSE
"528",-0.45,0.0594949494949495,FALSE
"529",-0.43,0.0594949494949495,FALSE
"530",-0.41,0.0594949494949495,FALSE
"531",-0.39,0.0594949494949495,FALSE
"532",-0.37,0.0594949494949495,FALSE
"533",-0.35,0.0594949494949495,FALSE
"534",-0.33,0.0594949494949495,FALSE
"535",-0.31,0.0594949494949495,FALSE
"536",-0.29,0.0594949494949495,FALSE
"537",-0.27,0.0594949494949495,FALSE
"538",-0.25,0.0594949494949495,FALSE
"539",-0.23,0.0594949494949495,FALSE
"540",-0.21,0.0594949494949495,FALSE
"541",-0.19,0.0594949494949495,FALSE
"542",-0.17,0.0594949494949495,FALSE
"543",-0.15,0.0594949494949495,FALSE
"544",-0.13,0.0594949494949495,FALSE
"545",-0.11,0.0594949494949495,FALSE
"546",-0.09,0.0594949494949495,FALSE
"547",-0.07,0.0594949494949495,FALSE
"548",-0.0499999999999999,0.0594949494949495,FALSE
"549",-0.03,0.0594949494949495,FALSE
"550",-0.01,0.0594949494949495,FALSE
"551",0.01,0.0594949494949495,FALSE
"552",0.03,0.0594949494949495,FALSE
"553",0.05,0.0594949494949495,FALSE
"554",0.0700000000000001,0.0594949494949495,FALSE
"555",0.0900000000000001,0.0594949494949495,FALSE
"556",0.11,0.0594949494949495,FALSE
"557",0.13,0.0594949494949495,FALSE
"558",0.15,0.0594949494949495,FALSE
"559",0.17,0.0594949494949495,FALSE
"560",0.19,0.0594949494949495,FALSE
"561",0.21,0.0594949494949495,FALSE
"562",0.23,0.0594949494949495,FALSE
"563",0.25,0.0594949494949495,FALSE
"564",0.27,0.0594949494949495,FALSE
"565",0.29,0.0594949494949495,FALSE
"566",0.31,0.0594949494949495,FALSE
"567",0.33,0.0594949494949495,FALSE
"568",0.35,0.0594949494949495,FALSE
"569",0.37,0.0594949494949495,FALSE
"570",0.39,0.0594949494949495,FALSE
"571",0.41,0.0594949494949495,FALSE
"572",0.43,0.0594949494949495,FALSE
"573",0.45,0.0594949494949495,FALSE
"574",0.47,0.0594949494949495,FALSE
"575",0.49,0.0594949494949495,FALSE
"576",0.51,0.0594949494949495,FALSE
"577",0.53,0.0594949494949495,TRUE
"578",0.55,0.0594949494949495,FALSE
"579",0.57,0.0594949494949495,FALSE
"580",0.59,0.0594949494949495,FALSE
"581",0.61,0.0594949494949495,FALSE
"582",0.63,0.0594949494949495,FALSE
"583",0.65,0.0594949494949495,FALSE
"584",0.67,0.0594949494949495,FALSE
"585",0.69,0.0594949494949495,FALSE
"586",0.71,0.0594949494949495,FALSE
"587",0.73,0.0594949494949495,FALSE
"588",0.75,0.0594949494949495,FALSE
"589",0.77,0.0594949494949495,FALSE
"590",0.79,0.0594949494949495,FALSE
"591",0.81,0.0594949494949495,FALSE
"592",0.83,0.0594949494949495,FALSE
"593",0.85,0.0594949494949495,FALSE
"594",0.87,0.0594949494949495,FALSE
"595",0.89,0.0594949494949495,FALSE
"596",0.91,0.0594949494949495,FALSE
"597",0.93,0.0594949494949495,FALSE
"598",0.95,0.0594949494949495,FALSE
"599",0.97,0.0594949494949495,FALSE
"600",0.99,0.0594949494949495,FALSE
"601",-0.99,0.0693939393939394,FALSE
"602",-0.97,0.0693939393939394,FALSE
"603",-0.95,0.0693939393939394,FALSE
"604",-0.93,0.0693939393939394,FALSE
"605",-0.91,0.0693939393939394,FALSE
"606",-0.89,0.0693939393939394,FALSE
"607",-0.87,0.0693939393939394,FALSE
"608",-0.85,0.0693939393939394,FALSE
"609",-0.83,0.0693939393939394,FALSE
"610",-0.81,0.0693939393939394,FALSE
"611",-0.79,0.0693939393939394,FALSE
"612",-0.77,0.0693939393939394,FALSE
"613",-0.75,0.0693939393939394,FALSE
"614",-0.73,0.0693939393939394,FALSE
"615",-0.71,0.0693939393939394,FALSE
"616",-0.69,0.0693939393939394,FALSE
"617",-0.67,0.0693939393939394,FALSE
"618",-0.65,0.0693939393939394,FALSE
"619",-0.63,0.0693939393939394,FALSE
"620",-0.61,0.0693939393939394,FALSE
"621",-0.59,0.0693939393939394,FALSE
"622",-0.57,0.0693939393939394,FALSE
"623",-0.55,0.0693939393939394,FALSE
"624",-0.53,0.0693939393939394,FALSE
"625",-0.51,0.0693939393939394,FALSE
"626",-0.49,0.0693939393939394,FALSE
"627",-0.47,0.0693939393939394,FALSE
"628",-0.45,0.0693939393939394,FALSE
"629",-0.43,0.0693939393939394,FALSE
"630",-0.41,0.0693939393939394,FALSE
"631",-0.39,0.0693939393939394,FALSE
"632",-0.37,0.0693939393939394,FALSE
"633",-0.35,0.0693939393939394,FALSE
"634",-0.33,0.0693939393939394,FALSE
"635",-0.31,0.0693939393939394,FALSE
"636",-0.29,0.0693939393939394,FALSE
"637",-0.27,0.0693939393939394,FALSE
"638",-0.25,0.0693939393939394,FALSE
"639",-0.23,0.0693939393939394,FALSE
"640",-0.21,0.0693939393939394,FALSE
"641",-0.19,0.0693939393939394,FALSE
"642",-0.17,0.0693939393939394,FALSE
"643",-0.15,0.0693939393939394,FALSE
"644",-0.13,0.0693939393939394,FALSE
"645",-0.11,0.0693939393939394,FALSE
"646",-0.09,0.0693939393939394,FALSE
"647",-0.07,0.0693939393939394,FALSE
"648",-0.0499999999999999,0.0693939393939394,FALSE
"649",-0.03,0.0693939393939394,FALSE
"650",-0.01,0.0693939393939394,FALSE
"651",0.01,0.0693939393939394,FALSE
"652",0.03,0.0693939393939394,FALSE
"653",0.05,0.0693939393939394,FALSE
"654",0.0700000000000001,0.0693939393939394,FALSE
"655",0.0900000000000001,0.0693939393939394,FALSE
"656",0.11,0.0693939393939394,FALSE
"657",0.13,0.0693939393939394,FALSE
"658",0.15,0.0693939393939394,FALSE
"659",0.17,0.0693939393939394,FALSE
"660",0.19,0.0693939393939394,FALSE
"661",0.21,0.0693939393939394,FALSE
"662",0.23,0.0693939393939394,FALSE
"663",0.25,0.0693939393939394,FALSE
"664",0.27,0.0693939393939394,FALSE
"665",0.29,0.0693939393939394,FALSE
"666",0.31,0.0693939393939394,FALSE
